Current (A), Voltage (V), Temperature (K), Source V, Current Out (A), ContactConf
Current (A), Voltage (V), Temperature (K), Source V, Current Out (A), ContactConf
0.006375,0.000271,291.7,0.16064,-0.006375,R12;43
-0.006376,-0.000268,291.7,-0.160403,0.006376,R12;43
0.005737,0.000244,291.7,0.144306,-0.005737,R12;43
-0.005739,-0.000242,291.7,-0.144104,0.005739,R12;43
0.0051,0.000217,291.7,0.128138,-0.0051,R12;43
-0.005102,-0.000215,291.7,-0.127978,0.005102,R12;43
0.004462,0.00019,291.71,0.111995,-0.004462,R12;43
-0.004464,-0.000188,291.7,-0.111793,0.004464,R12;43
0.003824,0.000163,291.7,0.095989,-0.003824,R12;43
-0.003827,-0.000161,291.7,-0.09572,0.003827,R12;43
0.003187,0.000136,291.7,0.079905,-0.003187,R12;43
-0.003188,-0.000134,291.7,-0.079671,0.003188,R12;43
0.00255,0.000109,291.7,0.063917,-0.00255,R12;43
-0.002552,-0.000107,291.7,-0.063729,0.002552,R12;43
0.001911,8.192867E-5,291.7,0.047933,-0.001911,R12;43
-0.001913,-7.980942E-5,291.7,-0.047712,0.001913,R12;43
0.001274,5.501219E-5,291.7,0.032001,-0.001274,R12;43
-0.001276,-5.280562E-5,291.7,-0.031773,0.001276,R12;43
0.000637,2.806669E-5,291.7,0.016096,-0.000637,R12;43
-0.000637,-2.582525E-5,291.7,-0.0158,0.000637,R12;43
-0.000637,-2.580161E-5,291.71,-0.015791,0.000637,R12;43
0.000637,2.805658E-5,291.71,0.016096,-0.000637,R12;43
-0.001276,-5.286558E-5,291.7,-0.031787,0.001276,R12;43
0.001274,5.498662E-5,291.7,0.032009,-0.001274,R12;43
-0.001914,-7.983344E-5,291.7,-0.04775,0.001914,R12;43
0.001911,8.193012E-5,291.7,0.047957,-0.001911,R12;43
-0.002552,-0.000107,291.7,-0.063733,0.002552,R12;43
0.002549,0.000109,291.71,0.06395,-0.002549,R12;43
-0.003188,-0.000134,291.7,-0.079704,0.003188,R12;43
0.003187,0.000136,291.7,0.079929,-0.003187,R12;43
-0.003826,-0.000161,291.705,-0.09576,0.003826,R12;43
0.003825,0.000163,291.71,0.096004,-0.003825,R12;43
-0.004464,-0.000188,291.7,-0.111865,0.004464,R12;43
0.004462,0.00019,291.71,0.112005,-0.004462,R12;43
-0.005102,-0.000215,291.7,-0.127905,0.005102,R12;43
0.0051,0.000217,291.71,0.128007,-0.0051,R12;43
-0.005739,-0.000242,291.7,-0.143982,0.005739,R12;43
0.005737,0.000244,291.71,0.144063,-0.005737,R12;43
-0.006376,-0.000269,291.71,-0.1601,0.006376,R12;43
