Type of Test:,VdP AC Hall
Measurement Date:,12 April 2023
Sample Name:,1000 angstrom copper on SiO2 on Si
Created by:,William Ryan
Composition:,100 nm copper on thermal SiO2 on Si
Creation Date,27 March 2022
Thickness (nm),1E-5
Width (nm),0.8
Current Control:,Smart Sweep
Av. Temperature (K), B field freq. (Hz), Av. Bfield magnitude (T), Carrier Type (-1 = electron; 1 = hole), Carrier Density (1/cm^3), Sheet Carrier Density (1/cm^2), Mobility (cm^2 / V s), Hall Coefficient (Ohm m / T), Consistency Warning, Consistency Error, Hall Coef. D (Ohm m / T), Hall Coef. E (Ohm m / T), R_D (Ohms), Theta_D (rad), R_E (Ohms), Theta_E (rad), Av Current_D (A), Av. Current_E (A), Av B mag D (T), Av B mag E (T), Resistivity (Ohm cm)
Type of Test:,VdP AC Hall
Measurement Date:,12 April 2023
Sample Name:,1000 angstrom copper on SiO2 on Si
Created by:,William Ryan
Composition:,100 nm copper on thermal SiO2 on Si
Creation Date,27 March 2022
Thickness (nm),1E-5
Width (nm),0.8
Current Control:,Smart Sweep
Av. Temperature (K), B field freq. (Hz), Av. Bfield magnitude (T), Carrier Type (-1 = electron; 1 = hole), Carrier Density (1/cm^3), Sheet Carrier Density (1/cm^2), Mobility (cm^2 / V s), Hall Coefficient (Ohm m / T), Consistency Warning, Consistency Error, Hall Coef. D (Ohm m / T), Hall Coef. E (Ohm m / T), R_D (Ohms), Theta_D (rad), R_E (Ohms), Theta_E (rad), Av Current_D (A), Av. Current_E (A), Av B mag D (T), Av B mag E (T), Resistivity (Ohm cm)
291.718813, 0.17, 0.964022, -1, 6.839939E+22, 6.839939E+17, 35.835565, 9.125095E-11, 1, 1, 1.352124E-10, 4.728953E-11, 0.001302, 0.757364, 0.000455, 0.517644, 0.006057, 0.006057, 0.963227, 0.963085, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 2.889325E+22, 2.889325E+17, 84.834025, 2.160196E-10, 1, 1, 3.878857E-10, 4.41536E-11, 0.00374, 2.59972, 0.000426, 0.545421, 0.005419, 0.005419, 0.964314, 0.965024, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 3.54862E+22, 3.54862E+17, 69.072796, 1.758856E-10, 1, 1, 3.04392E-10, 4.737914E-11, 0.002931, -1.238861, 0.000458, 0.519027, 0.004782, 0.004782, 0.962929, 0.965678, 2.54638E-6
